formation_month,next_month,ic,momentum_names,momentum_return,contrarian_names,contrarian_return,ew_mag7_return,qqq_return,spy_return
2018-01,2018-02,0.00000000,NVDA,-0.01545972,AAPL,0.06384758,-0.00943904,-0.01292791,-0.03636041
2018-02,2018-03,0.61828402,AMZN,-0.04304936,AAPL,-0.05805075,-0.07991885,-0.04234197,-0.03129026
2018-03,2018-04,-0.32142857,AMZN,0.08207470,TSLA,0.10434750,0.03224069,0.00505837,0.00516816
2018-04,2018-05,0.07142857,AMZN,0.04053942,TSLA,-0.03120109,0.07332369,0.05672925,0.02430910
2018-05,2018-06,-0.35714286,AMZN,0.04306525,TSLA,0.20447441,0.03070658,0.00929021,0.00125489
2018-06,2018-07,-0.23640271,AMZN,0.04567596,GOOGL,0.08681454,0.00389853,0.02796390,0.03704659
2018-07,2018-08,0.32433749,AMZN,0.13236452,TSLA,0.01180653,0.08108397,0.05780673,0.03191981
2018-08,2018-09,0.71428571,AMZN,-0.00482434,TSLA,-0.12229000,-0.02860655,-0.00460756,0.00141228
2018-09,2018-10,-0.46428571,AMZN,-0.20219171,TSLA,0.27401141,-0.06401167,-0.08595719,-0.06910429
2018-10,2018-11,0.27028124,AAPL,-0.18404459,META,-0.07365439,-0.04716497,-0.00264994,0.01854931
2018-11,2018-12,0.60714286,TSLA,-0.05044510,NVDA,-0.18313651,-0.09595424,-0.08921297,-0.09334301
2018-12,2019-01,-0.49099025,MSFT,0.02815792,NVDA,0.07677903,0.08228018,0.09010767,0.08006562
2019-01,2019-02,-0.57659998,AMZN,-0.04590599,NVDA,0.07311304,0.02161929,0.02991198,0.03241581
2019-02,2019-03,-0.50000000,MSFT,0.05275373,NVDA,0.16400882,0.05025079,0.03735782,0.01363571
2019-03,2019-04,0.82332931,MSFT,0.10734272,NVDA,0.00801960,0.04079116,0.05499271,0.04085245
2019-04,2019-05,0.65465367,MSFT,-0.05298622,TSLA,-0.22426578,-0.12778930,-0.08225175,-0.06377117
2019-05,2019-06,-0.68471247,MSFT,0.08311772,TSLA,0.20684813,0.10939330,0.07352693,0.06440949
2019-06,2019-07,-0.67857143,MSFT,0.01724395,TSLA,0.08122259,0.04563441,0.02334797,0.01511945
2019-07,2019-08,0.52254373,MSFT,0.01166801,NVDA,-0.00717165,-0.02816703,-0.01899532,-0.01674344
2019-08,2019-09,0.07142857,MSFT,0.00848687,AMZN,-0.02273277,0.02147837,0.00714779,0.01477176
2019-09,2019-10,0.03571429,AAPL,0.11068447,AMZN,0.02347472,0.10495246,0.04380067,0.02210466
2019-10,2019-11,0.55593699,MSFT,0.05586943,AMZN,0.01358729,0.05111231,0.04069416,0.03619820
2019-11,2019-12,0.78571429,AAPL,0.09878391,AMZN,0.02612172,0.08073664,0.03661626,0.02402087
2019-12,2020-01,-0.39285714,AAPL,0.05400988,AMZN,0.08706382,0.11913478,0.03038430,-0.00040390
