symbol,year,date,next_date,gap,abs_gap,gap_atr20,gap_up,day_abs_oc,day_range,rv5,rv20,median20_range,atr20,range20_ratio,adv20_dollar,log_adv20_dollar,prior_cc_aligned,prior_oc_aligned,signed_gex_to_adv,gross_gex_to_adv,followthrough_oc,continued,mfe,mae,excursion_efficiency,rth_range,eligible_contracts,call_dgamma,put_dgamma,signed_dgex,gross_dgex
IWM,2008,2008-01-03,2008-01-04,-0.019373066056773802,0.019373066056773802,0.8681482963547957,0.0,0.011437691182338061,0.021146429046415793,0.007671203380015288,0.0167136806128462,0.019089231678272946,0.022315387979355544,1.1077674263068595,6163350218.05,22.541886333216578,0.011043108036189464,0.011437691182338061,-0.13837088910908094,0.3413600536984391,0.010975442447523576,1.0,0.01756070791603792,0.006036493346138094,0.744186046511626,0.023597201262175866,408,625546655.916804,1478374905.4790304,-852828249.5622264,2103921561.3958344
SPY,2008,2008-01-03,2008-01-04,-0.010492924130243497,0.010492924130243497,0.7034736138771437,0.0,0.000345062443031674,0.009799171629309959,0.004867960694303721,0.010924912830432107,0.011493507052295477,0.014915874488045839,0.8525832528508236,24682233871.59805,23.929349545323404,0.000482936613403262,0.000345062443031674,-0.1333890756544238,0.3206177123021224,0.014162118436224946,1.0,0.016952644536142092,0.0006976838481282943,0.9604719055113979,0.017650328384270404,1042,2310610498.599475,5602950859.818249,-3292340361.218774,7913561358.417724
SPY,2008,2008-01-04,2008-01-07,0.003538320055740174,0.003538320055740174,0.2311260412554279,1.0,0.014162118436224946,0.017650328384270404,0.00945282777256477,0.011390749282507802,0.01243686651465376,0.015309049713830453,1.4191941646614823,25050475074.42796,23.944158629344475,-0.02450644053219364,-0.014162118436224946,-0.12612915116497805,0.2200270304985708,-0.004372018960186574,0.0,0.002961695267776454,0.012058331740474326,0.19718308536659354,0.015020027008250801,1052,1176093242.8939047,4335688400.310944,-3159595157.417039,5511781643.204848
SPY,2008,2008-01-07,2008-01-08,0.0063035624859613115,0.0063035624859613115,0.4153728961107975,1.0,0.004372018960186574,0.015020027008250801,0.009749851946150256,0.010694693289167112,0.01243686651465376,0.015175671173980224,1.207701874950047,25543704049.18132,23.963656706368713,-0.0008491685068172661,-0.004372018960186574,-0.14106202942920093,0.24661896916779671,-0.02231135948322993,0.0,0.005771340008849268,0.025619369008736514,0.1838550383049976,0.031390709017585734,1064,1348157614.5099788,4951404346.826393,-3603246732.3164144,6299561961.336372
IWM,2008,2008-01-09,2008-01-10,-0.00848296338187482,0.00848296338187482,0.3325919964610543,0.0,0.009851513420902291,0.033980582524271774,0.018561159885290317,0.017264710920205338,0.024125470437182123,0.025505614903959823,1.4084940897940366,7097064848.8,22.682947133942225,-0.010139960011425364,-0.009851513420902291,-0.16247335606238447,0.29285526273283263,-0.02195921859403982,0.0,0.0038499928703835673,0.0312277199486668,0.10975609756097535,0.03507771281905025,461,462664423.37517995,1615748367.5520952,-1153083944.1769152,2078412790.9272752
SPY,2008,2008-01-09,2008-01-10,-0.0049155946753435265,0.0049155946753435265,0.2875945906067114,0.0,0.009202667602348447,0.02221580335655494,0.01391584825966271,0.01121334480725163,0.013614855062546047,0.01709209712523993,1.631732637218429,27862461345.060783,24.05054614831103,-0.010510337326028685,-0.009202667602348447,-0.14069766793329305,0.23468066077105534,-0.011526346511200103,0.0,0.0022193443265708934,0.022336842471061713,0.09037821486130958,0.02455618679763261,1069,1309298752.5176384,5229482086.649214,-3920183334.1315756,6538780839.166852
IWM,2008,2008-01-10,2008-01-11,-0.005441607367099199,0.005441607367099199,0.21645252413803648,0.0,0.02195921859403982,0.03507771281905025,0.021767203120448386,0.016246036784750832,0.024125470437182123,0.025139958005890327,1.4539701064228183,7189098661.75,22.69583164084201,-0.013289975964936973,-0.02195921859403982,-0.14309412201826088,0.3721439748433073,0.01487093153759822,1.0,0.019219977553310952,0.0030864197530864335,0.8616352201257861,0.022306397306397354,453,823330995.209288,1852048756.3150585,-1028717761.1057705,2675379751.5243464
SPY,2008,2008-01-10,2008-01-11,-0.003609554995165243,0.003609554995165243,0.216786522860551,0.0,0.011526346511200103,0.02455618679763261,0.01496682262590875,0.00997371277707347,0.013614855062546047,0.016650273954009157,1.8036318921371226,28382585503.696087,24.069041607548275,-0.006554092988320104,-0.011526346511200103,-0.12320592713385535,0.24759151217774633,0.004475103029372929,1.0,0.012643834441283142,0.007955640062193625,0.6137940285393748,0.020599474503476822,1074,1765192251.4677482,5262095012.906548,-3496902761.4387994,7027287264.374296
IWM,2008,2008-01-11,2008-01-14,0.011107946454001816,0.011107946454001816,0.4517983617134092,1.0,0.01487093153759822,0.022306397306397354,0.019473219403669487,0.016478975205652616,0.02295179928428661,0.024586070679574436,0.9718801140644727,7178903050.6,22.69441242986676,-0.020231617134086832,-0.01487093153759822,-0.19357168230559216,0.31684533643974744,-0.0028169014084507005,0.0,0.0026760563380281432,0.01042253521126757,0.2043010752688162,0.013098591549295671,451,442484805.8611482,1832117146.4745378,-1389632340.6133897,2274601952.335686
SPY,2008,2008-01-11,2008-01-14,0.007206636055938631,0.007206636055938631,0.44673839669843407,1.0,0.004475103029372929,0.020599474503476822,0.01080754198602156,0.00962796625023036,0.013614855062546047,0.01613166924803957,1.5130146012457526,27846014500.08201,24.049955687157425,-0.008068504894044537,-0.004475103029372929,-0.1456205112070419,0.27155608229328904,0.0008500637333506145,1.0,0.004958890480054379,0.005384032151203311,0.47944770127816205,0.010342922631257639,1046,1753401869.271873,5808352735.852516,-4054950866.580643,7561754605.12439
