sample,feature,outcome,expected_sign,n,rho,p_value
POOLED,near_gamma_share_0_5,next_rth_range,-1,2221,-0.45551203513454036,3.270407500550786e-114
POOLED,near_gamma_share_0_5,next_max_excursion,-1,2221,-0.3823673509641386,3.034884920414591e-78
POOLED,near_gamma_share_0_5,next_abs_oc,-1,2221,-0.20492536433754596,1.740650089285667e-22
POOLED,near_gamma_share_0_5,next_range_vs_20d,-1,2221,-0.08431498661749061,6.937997049700625e-05
POOLED,front_near_gamma_share,next_rth_range,-1,2221,-0.44998240554430113,3.586079171182847e-111
POOLED,front_near_gamma_share,next_max_excursion,-1,2221,-0.37994757578389954,3.348107120667391e-77
POOLED,front_near_gamma_share,next_abs_oc,-1,2221,-0.19744079230440292,5.8731528200243925e-21
POOLED,front_near_gamma_share,next_range_vs_20d,-1,2221,-0.0967149206493717,4.9694717972501954e-06
POOLED,weighted_abs_distance,next_rth_range,1,2221,0.5312401814673113,5.346008001614715e-162
POOLED,weighted_abs_distance,next_max_excursion,1,2221,0.45114605148529746,8.308790519227273e-112
POOLED,weighted_abs_distance,next_abs_oc,1,2221,0.24358372693080543,2.3240298900425806e-31
POOLED,weighted_abs_distance,next_range_vs_20d,1,2221,0.07324414128502911,0.0005512945349439997
NON_OPEX,near_gamma_share_0_5,next_rth_range,-1,1712,-0.45160901071484116,8.576338615465681e-87
NON_OPEX,near_gamma_share_0_5,next_max_excursion,-1,1712,-0.3760209319063179,1.268869798756763e-58
NON_OPEX,near_gamma_share_0_5,next_abs_oc,-1,1712,-0.1962949719021406,2.4874129075337473e-16
NON_OPEX,near_gamma_share_0_5,next_range_vs_20d,-1,1712,-0.07353853111120011,0.002329477002928837
NON_OPEX,front_near_gamma_share,next_rth_range,-1,1712,-0.4849096348854277,1.1554402737471989e-101
NON_OPEX,front_near_gamma_share,next_max_excursion,-1,1712,-0.412983040726636,1.7045796710988204e-71
NON_OPEX,front_near_gamma_share,next_abs_oc,-1,1712,-0.20893941279164913,2.4276201027867806e-18
NON_OPEX,front_near_gamma_share,next_range_vs_20d,-1,1712,-0.10108329668680746,2.787869073594669e-05
NON_OPEX,weighted_abs_distance,next_rth_range,1,1712,0.5357692771974147,8.355031990472809e-128
NON_OPEX,weighted_abs_distance,next_max_excursion,1,1712,0.4530797990341541,2.045077525526616e-87
NON_OPEX,weighted_abs_distance,next_abs_oc,1,1712,0.24106932191748018,4.651953927813196e-24
NON_OPEX,weighted_abs_distance,next_range_vs_20d,1,1712,0.05921938360809722,0.014260190670215452
SYMBOL_SPY,near_gamma_share_0_5,next_rth_range,-1,740,-0.45867775704681907,8.918721888758933e-40
SYMBOL_SPY,near_gamma_share_0_5,next_max_excursion,-1,740,-0.38873376617127053,4.171621780017532e-28
SYMBOL_SPY,near_gamma_share_0_5,next_abs_oc,-1,740,-0.24588107800129735,1.1871767973125419e-11
SYMBOL_SPY,near_gamma_share_0_5,next_range_vs_20d,-1,740,-0.13199695397544553,0.00031772788888139944
SYMBOL_SPY,front_near_gamma_share,next_rth_range,-1,740,-0.42463267286285594,9.403093890840126e-34
SYMBOL_SPY,front_near_gamma_share,next_max_excursion,-1,740,-0.36799056401648805,3.8011716637212443e-25
SYMBOL_SPY,front_near_gamma_share,next_abs_oc,-1,740,-0.21593900606791427,2.9492473025903594e-09
SYMBOL_SPY,front_near_gamma_share,next_range_vs_20d,-1,740,-0.1533193923764396,2.808341135014144e-05
SYMBOL_SPY,weighted_abs_distance,next_rth_range,1,740,0.471690080179504,2.899164733825959e-42
SYMBOL_SPY,weighted_abs_distance,next_max_excursion,1,740,0.40387454560234276,2.1003855839750256e-30
SYMBOL_SPY,weighted_abs_distance,next_abs_oc,1,740,0.2502626922255154,4.965062744918969e-12
SYMBOL_SPY,weighted_abs_distance,next_range_vs_20d,1,740,0.09327773534026648,0.01112728215200376
SYMBOL_QQQ,near_gamma_share_0_5,next_rth_range,-1,741,-0.30492911366794195,2.0741977866807943e-17
SYMBOL_QQQ,near_gamma_share_0_5,next_max_excursion,-1,741,-0.24557795461469745,1.2208073342149113e-11
SYMBOL_QQQ,near_gamma_share_0_5,next_abs_oc,-1,741,-0.18034155918962277,7.755694391782269e-07
SYMBOL_QQQ,near_gamma_share_0_5,next_range_vs_20d,-1,741,-0.06096964845723537,0.09723369560368723
SYMBOL_QQQ,front_near_gamma_share,next_rth_range,-1,741,-0.2881387755270576,1.2385059702614104e-15
SYMBOL_QQQ,front_near_gamma_share,next_max_excursion,-1,741,-0.22948820684669746,2.5992138220792586e-10
SYMBOL_QQQ,front_near_gamma_share,next_abs_oc,-1,741,-0.151438209928776,3.483924734339584e-05
SYMBOL_QQQ,front_near_gamma_share,next_range_vs_20d,-1,741,-0.06597733300811752,0.0726674388785097
SYMBOL_QQQ,weighted_abs_distance,next_rth_range,1,741,0.3702971389168013,1.6942855308511742e-25
SYMBOL_QQQ,weighted_abs_distance,next_max_excursion,1,741,0.2960797730410442,1.851402214550247e-16
SYMBOL_QQQ,weighted_abs_distance,next_abs_oc,1,741,0.20660086846779996,1.3804369213617202e-08
SYMBOL_QQQ,weighted_abs_distance,next_range_vs_20d,1,741,0.046028174032146235,0.21075374779492442
SYMBOL_IWM,near_gamma_share_0_5,next_rth_range,-1,740,-0.09000445828307092,0.014316618879964025
SYMBOL_IWM,near_gamma_share_0_5,next_max_excursion,-1,740,-0.02927985920650261,0.42642603258223927
SYMBOL_IWM,near_gamma_share_0_5,next_abs_oc,-1,740,0.05820800118927033,0.11362820207488575
SYMBOL_IWM,near_gamma_share_0_5,next_range_vs_20d,-1,740,-0.03616258355949261,0.3259092457756547
SYMBOL_IWM,front_near_gamma_share,next_rth_range,-1,740,-0.11946608395579267,0.0011299272687663
SYMBOL_IWM,front_near_gamma_share,next_max_excursion,-1,740,-0.06099227374065349,0.09733601243083345
SYMBOL_IWM,front_near_gamma_share,next_abs_oc,-1,740,0.03281864915651683,0.3726638289780705
SYMBOL_IWM,front_near_gamma_share,next_range_vs_20d,-1,740,-0.06986898037393016,0.05746583375521435
SYMBOL_IWM,weighted_abs_distance,next_rth_range,1,740,0.14271113657197268,9.79737708562428e-05
SYMBOL_IWM,weighted_abs_distance,next_max_excursion,1,740,0.09207910720623488,0.012213548004166757
SYMBOL_IWM,weighted_abs_distance,next_abs_oc,1,740,-0.03192056645514376,0.3858947099435724
SYMBOL_IWM,weighted_abs_distance,next_range_vs_20d,1,740,0.055076216503465274,0.13443527144209796
YEAR_2023,near_gamma_share_0_5,next_rth_range,-1,750,-0.4074358603304183,2.3294344140434085e-31
YEAR_2023,near_gamma_share_0_5,next_max_excursion,-1,750,-0.33449754755119565,4.600371705093772e-21
YEAR_2023,near_gamma_share_0_5,next_abs_oc,-1,750,-0.18228377294892967,5.011130981385309e-07
YEAR_2023,near_gamma_share_0_5,next_range_vs_20d,-1,750,-0.06902297070750348,0.05884190096278977
YEAR_2023,front_near_gamma_share,next_rth_range,-1,750,-0.4032906725167511,1.0587855450430467e-30
YEAR_2023,front_near_gamma_share,next_max_excursion,-1,750,-0.33125464756381784,1.151596148880286e-20
YEAR_2023,front_near_gamma_share,next_abs_oc,-1,750,-0.14663923669197632,5.5541884722514246e-05
YEAR_2023,front_near_gamma_share,next_range_vs_20d,-1,750,-0.06303608717526608,0.08450028719685812
YEAR_2023,weighted_abs_distance,next_rth_range,1,750,0.49377983605304177,2.3750311556059556e-47
YEAR_2023,weighted_abs_distance,next_max_excursion,1,750,0.4045910694952346,6.599643413506893e-31
YEAR_2023,weighted_abs_distance,next_abs_oc,1,750,0.1933109072193906,9.522183552595803e-08
YEAR_2023,weighted_abs_distance,next_range_vs_20d,1,750,0.027840177493648872,0.4464716131725979
YEAR_2024,near_gamma_share_0_5,next_rth_range,-1,755,-0.4625189430852824,2.74552633302967e-41
YEAR_2024,near_gamma_share_0_5,next_max_excursion,-1,755,-0.3908089753488246,5.864061862570404e-29
YEAR_2024,near_gamma_share_0_5,next_abs_oc,-1,755,-0.20011390248887392,2.928464006833376e-08
YEAR_2024,near_gamma_share_0_5,next_range_vs_20d,-1,755,-0.11642080737764683,0.0013528425314629515
YEAR_2024,front_near_gamma_share,next_rth_range,-1,755,-0.44140047362244206,2.409942594033155e-37
YEAR_2024,front_near_gamma_share,next_max_excursion,-1,755,-0.38168634795718603,1.3572886594887021e-27
YEAR_2024,front_near_gamma_share,next_abs_oc,-1,755,-0.17988883563215602,6.514516764757181e-07
YEAR_2024,front_near_gamma_share,next_range_vs_20d,-1,755,-0.13364593083707035,0.0002308015429499577
YEAR_2024,weighted_abs_distance,next_rth_range,1,755,0.5295751646288298,8.346381007940074e-56
YEAR_2024,weighted_abs_distance,next_max_excursion,1,755,0.4521789113933438,2.534798442723352e-39
YEAR_2024,weighted_abs_distance,next_abs_oc,1,755,0.21984786419588886,1.0237599694116592e-09
YEAR_2024,weighted_abs_distance,next_range_vs_20d,1,755,0.1097557133181705,0.0025284338191450804
YEAR_2025,near_gamma_share_0_5,next_rth_range,-1,716,-0.4880890036309499,3.9397003151070115e-44
YEAR_2025,near_gamma_share_0_5,next_max_excursion,-1,716,-0.41312389020483736,6.940335374626093e-31
YEAR_2025,near_gamma_share_0_5,next_abs_oc,-1,716,-0.21886295841088857,3.258086812010547e-09
YEAR_2025,near_gamma_share_0_5,next_range_vs_20d,-1,716,-0.07937786250121165,0.03369963051797462
YEAR_2025,front_near_gamma_share,next_rth_range,-1,716,-0.4821454135495416,5.888377694813152e-43
YEAR_2025,front_near_gamma_share,next_max_excursion,-1,716,-0.40830615120136166,3.841287905577831e-30
YEAR_2025,front_near_gamma_share,next_abs_oc,-1,716,-0.24774225797577287,1.7848208099159305e-11
YEAR_2025,front_near_gamma_share,next_range_vs_20d,-1,716,-0.09241763589254298,0.013364600970743119
YEAR_2025,weighted_abs_distance,next_rth_range,1,716,0.556181024744172,2.219904631958981e-59
YEAR_2025,weighted_abs_distance,next_max_excursion,1,716,0.4795240616422917,1.9086242798359153e-42
YEAR_2025,weighted_abs_distance,next_abs_oc,1,716,0.29479605268857506,8.007744079290459e-16
YEAR_2025,weighted_abs_distance,next_range_vs_20d,1,716,0.08541619433370445,0.022267906139489063
