symbol,year,gamma_bucket,n,mean_next_range,mean_max_excursion,mean_abs_oc
IWM,2023,HIGH,125,0.015603219706152327,0.012617339829029461,0.008457013883193145
IWM,2023,LOW,125,0.01669303937151023,0.01321205997046244,0.008220903051322092
IWM,2024,HIGH,125,0.015093517709285883,0.01232827185153472,0.007461230962625009
IWM,2024,LOW,126,0.016028996059795988,0.012287643309790531,0.007363153386548868
IWM,2025,HIGH,119,0.017652315321170273,0.014904876632945421,0.01027064248062304
IWM,2025,LOW,120,0.01698899086697816,0.01293483624285342,0.00745721089883888
QQQ,2023,HIGH,125,0.013469257239452513,0.010848132233034033,0.007373809237539873
QQQ,2023,LOW,125,0.015248185291230993,0.011768578717243896,0.007823097928029873
QQQ,2024,HIGH,126,0.011663144808457721,0.009511279927645971,0.0059317672914129945
QQQ,2024,LOW,126,0.014289306344092697,0.011379753204806177,0.007219031458944562
QQQ,2025,HIGH,119,0.011927704111724717,0.009803908991164578,0.006253221083195349
QQQ,2025,LOW,120,0.018514010122502114,0.015086537842169907,0.009724824432217708
SPY,2023,HIGH,125,0.008597169144970381,0.006830456410225384,0.004425238586376206
SPY,2023,LOW,125,0.012253462297859034,0.009580978483168743,0.006582166208393964
SPY,2024,HIGH,126,0.007950671025471345,0.0062393375783814705,0.004003197892251427
SPY,2024,LOW,126,0.010501401733820552,0.008306575336677178,0.004984267886433356
SPY,2025,HIGH,119,0.00863789964280148,0.00694530584258923,0.004341008957336244
SPY,2025,LOW,119,0.015397977281396403,0.012531722594997675,0.00843035403799216
