sample,target,n,gamma_coef,hc3_p_value,r2
POOLED,next_rth_range,2262,-0.722304154738371,3.285291002813856e-09,0.5402098106113231
POOLED,next_max_excursion,2262,-0.747475385973821,2.7673575701776735e-07,0.4465084263585296
NON_OPEX,next_rth_range,1735,-0.8877524323594724,1.2166248943361537e-09,0.5395513713440067
NON_OPEX,next_max_excursion,1735,-0.8967982383847566,4.84918070157775e-07,0.44792744916331806
SYMBOL_SPY,next_rth_range,755,-1.1910850324632387,1.4062041366729551e-06,0.5429260854390454
SYMBOL_SPY,next_max_excursion,755,-1.1524794427095761,7.021423478487839e-05,0.45828026998296156
SYMBOL_QQQ,next_rth_range,754,-0.5600023042862593,0.015118709064830264,0.47660683383333435
SYMBOL_QQQ,next_max_excursion,754,-0.5379275482150212,0.06114585772661017,0.3691303099797062
SYMBOL_IWM,next_rth_range,753,-0.37354374206463775,0.03125850831680766,0.44462185378922725
SYMBOL_IWM,next_max_excursion,753,-0.47250697527326724,0.02478293360788592,0.34555990192760977
YEAR_2020,next_rth_range,756,-0.47684631796299237,0.023283137698648024,0.6139371534961133
YEAR_2020,next_max_excursion,756,-0.524712481194106,0.04153495934566452,0.5154915563281206
YEAR_2021,next_rth_range,753,-1.2102200528300675,1.618440038964682e-08,0.48678555643600496
YEAR_2021,next_max_excursion,753,-1.3040514409860449,2.6561796863790835e-07,0.4151451770481094
YEAR_2022,next_rth_range,753,-0.48994981492427186,0.012747065543640352,0.20340499359345365
YEAR_2022,next_max_excursion,753,-0.4243354692360511,0.07820226237463762,0.13871582184152564
