sample,feature,outcome,n,rho,p_value
FULL,near_gamma_share_0_5,abs_gap,165,-0.06076456602463068,0.4381518196412768
FULL,near_gamma_share_0_5,abs_rth_oc,165,-0.0564902626025165,0.4711003456381691
FULL,near_gamma_share_0_5,rth_range,165,-0.22001175433441084,0.004518504252967611
FULL,near_gamma_share_0_5,abs_cc,165,0.011014345630860473,0.8883356611275302
FULL,front_near_gamma_share,abs_gap,165,-0.05602810354500041,0.47474225780303453
FULL,front_near_gamma_share,abs_rth_oc,165,-0.059060187535062654,0.45112998243943114
FULL,front_near_gamma_share,rth_range,165,-0.21616755269414692,0.005292614483782492
FULL,front_near_gamma_share,abs_cc,165,0.005145192744369941,0.9477048996452658
FULL,weighted_abs_distance,abs_gap,165,0.09667405764966742,0.2167353518586696
FULL,weighted_abs_distance,abs_rth_oc,165,0.0055619373280260745,0.9434759236379403
FULL,weighted_abs_distance,rth_range,165,0.14513130125824808,0.0628950607033856
FULL,weighted_abs_distance,abs_cc,165,0.03260224935217589,0.6776220004216077
FULL,strike_hhi,abs_gap,165,-0.07886891245692305,0.31395532373488144
FULL,strike_hhi,abs_rth_oc,165,0.05301471963240992,0.49885962347631785
FULL,strike_hhi,rth_range,165,0.0252370902679454,0.747632193364538
FULL,strike_hhi,abs_cc,165,-0.014030400983089787,0.8580457064944612
FIRST_HALF,near_gamma_share_0_5,abs_gap,82,0.056214015955420596,0.6159336012164409
FIRST_HALF,near_gamma_share_0_5,abs_rth_oc,82,0.08189941337164376,0.4644888322558013
FIRST_HALF,near_gamma_share_0_5,rth_range,82,-0.12771955028787235,0.25283741086854183
FIRST_HALF,near_gamma_share_0_5,abs_cc,82,0.16328729552355764,0.14270630602706347
FIRST_HALF,front_near_gamma_share,abs_gap,82,0.040628639218119086,0.7170459826805605
FIRST_HALF,front_near_gamma_share,abs_rth_oc,82,0.09393672249975511,0.40122654680234177
FIRST_HALF,front_near_gamma_share,rth_range,82,-0.15980452977220536,0.15154079478520088
FIRST_HALF,front_near_gamma_share,abs_cc,82,0.18633885134032063,0.09370274622229781
FIRST_HALF,weighted_abs_distance,abs_gap,82,0.04472088897595804,0.6899318273472498
FIRST_HALF,weighted_abs_distance,abs_rth_oc,82,-0.11293956313057107,0.3123767831493039
FIRST_HALF,weighted_abs_distance,rth_range,82,0.06740240093163984,0.5473942095129032
FIRST_HALF,weighted_abs_distance,abs_cc,82,-0.12993981345435945,0.24461380095979507
FIRST_HALF,strike_hhi,abs_gap,82,0.050685125325148836,0.6511119018364354
FIRST_HALF,strike_hhi,abs_rth_oc,82,0.04369782653649829,0.6966754404805322
FIRST_HALF,strike_hhi,rth_range,82,0.07173409083488426,0.521890904832697
FIRST_HALF,strike_hhi,abs_cc,82,0.08542571369488795,0.4454136139231052
SECOND_HALF,near_gamma_share_0_5,abs_gap,83,-0.09521010872759329,0.39188831473603264
SECOND_HALF,near_gamma_share_0_5,abs_rth_oc,83,-0.22209395071575497,0.04359499033853749
SECOND_HALF,near_gamma_share_0_5,rth_range,83,-0.34140044498551697,0.0015852258023573184
SECOND_HALF,near_gamma_share_0_5,abs_cc,83,-0.12847907308677217,0.2470463139786613
SECOND_HALF,front_near_gamma_share,abs_gap,83,-0.10811888669661222,0.3305893874917761
SECOND_HALF,front_near_gamma_share,abs_rth_oc,83,-0.2343310524327274,0.03298502333434883
SECOND_HALF,front_near_gamma_share,rth_range,83,-0.29060492842449936,0.007695039627526729
SECOND_HALF,front_near_gamma_share,abs_cc,83,-0.1711095252088493,0.12194255080501491
SECOND_HALF,weighted_abs_distance,abs_gap,83,0.10942025943495234,0.32476727982037457
SECOND_HALF,weighted_abs_distance,abs_rth_oc,83,0.15601779942067923,0.15899050635828846
SECOND_HALF,weighted_abs_distance,rth_range,83,0.2636958985768859,0.01600727564684236
SECOND_HALF,weighted_abs_distance,abs_cc,83,0.2033709751899584,0.06518012510152399
SECOND_HALF,strike_hhi,abs_gap,83,-0.08939591117081565,0.421573140073978
SECOND_HALF,strike_hhi,abs_rth_oc,83,0.02292095210108728,0.8370409446545327
SECOND_HALF,strike_hhi,rth_range,83,-0.09155786910709038,0.41038700499666253
SECOND_HALF,strike_hhi,abs_cc,83,-0.09115906133243777,0.41243734542856614
