sample,feature,outcome,expected_sign,n,rho,p_value
FULL,near_gamma_share_0_5,gap_followthrough,1,151,-0.0296653886371558,0.7176623427158718
FULL,near_gamma_share_0_5,excursion_efficiency,1,151,-0.14371209480655278,0.07833340418321172
FULL,near_gamma_share_0_5,mfe_from_open,1,151,-0.3279017079121645,3.9555365469150016e-05
FULL,near_gamma_share_0_5,gap_retention_close,1,151,-0.1067026838619728,0.1922284915770413
FULL,near_gamma_share_0_5,mae_from_open,-1,151,-0.08538166608574414,0.29723845172495966
FULL,near_gamma_share_0_5,gap_fill,-1,151,0.013405541040395333,0.8702283010210573
FULL,front_near_gamma_share,gap_followthrough,1,151,-0.037619379574764716,0.6465245702171962
FULL,front_near_gamma_share,excursion_efficiency,1,151,-0.17862669919832694,0.028203659702870025
FULL,front_near_gamma_share,mfe_from_open,1,151,-0.3540153363541303,8.221064977649858e-06
FULL,front_near_gamma_share,gap_retention_close,1,151,-0.11750784245381665,0.15073371251428955
FULL,front_near_gamma_share,mae_from_open,-1,151,-0.049609620076681765,0.54523210547881
FULL,front_near_gamma_share,gap_fill,-1,151,0.05605953525983502,0.4941743461883377
FULL,weighted_abs_distance,gap_followthrough,-1,151,0.015528058556988496,0.8499064687097116
FULL,weighted_abs_distance,excursion_efficiency,-1,151,0.11202509585221329,0.170854607577877
FULL,weighted_abs_distance,mfe_from_open,-1,151,0.3457929592192401,1.3689168083738604e-05
FULL,weighted_abs_distance,gap_retention_close,-1,151,0.13468804461484835,0.09917981249811228
FULL,weighted_abs_distance,mae_from_open,1,151,0.14477518299058906,0.07612933385747839
FULL,weighted_abs_distance,gap_fill,1,151,-0.046614722254101945,0.5697902588671913
FIRST_HALF,near_gamma_share_0_5,gap_followthrough,1,75,0.04685633001422475,0.6897520930005714
FIRST_HALF,near_gamma_share_0_5,excursion_efficiency,1,75,-0.1687339971550498,0.14785926123406176
FIRST_HALF,near_gamma_share_0_5,mfe_from_open,1,75,-0.3401137980085348,0.002830688267571511
FIRST_HALF,near_gamma_share_0_5,gap_retention_close,1,75,-0.024950213371266003,0.8317333208901664
FIRST_HALF,near_gamma_share_0_5,mae_from_open,-1,75,-0.08896159317211948,0.44785459462675536
FIRST_HALF,near_gamma_share_0_5,gap_fill,-1,75,0.04434838483106657,0.7055766003589715
FIRST_HALF,front_near_gamma_share,gap_followthrough,1,75,-0.04480796586059744,0.7026671709211811
FIRST_HALF,front_near_gamma_share,excursion_efficiency,1,75,-0.2693314366998577,0.019456893748109678
FIRST_HALF,front_near_gamma_share,mfe_from_open,1,75,-0.39137980085348506,0.0005163575817947067
FIRST_HALF,front_near_gamma_share,gap_retention_close,1,75,-0.09721194879089616,0.40670408634355454
FIRST_HALF,front_near_gamma_share,mae_from_open,-1,75,0.011180654338549074,0.9241528310434467
FIRST_HALF,front_near_gamma_share,gap_fill,-1,75,0.12442185744271453,0.28752524227973636
FIRST_HALF,weighted_abs_distance,gap_followthrough,-1,75,0.030924608819345657,0.7922578999755181
FIRST_HALF,weighted_abs_distance,excursion_efficiency,-1,75,0.20739687055476527,0.07419487622770317
FIRST_HALF,weighted_abs_distance,mfe_from_open,-1,75,0.4271977240398293,0.00013214666391070723
FIRST_HALF,weighted_abs_distance,gap_retention_close,-1,75,0.16489331436699856,0.15744092938481083
FIRST_HALF,weighted_abs_distance,mae_from_open,1,75,0.09135135135135135,0.4357028982680108
FIRST_HALF,weighted_abs_distance,gap_fill,1,75,-0.15029174859417002,0.19808455283804202
SECOND_HALF,near_gamma_share_0_5,gap_followthrough,1,76,-0.18930963773069037,0.10145122063390478
SECOND_HALF,near_gamma_share_0_5,excursion_efficiency,1,76,-0.23732057416267943,0.03899741757824328
SECOND_HALF,near_gamma_share_0_5,mfe_from_open,1,76,-0.2830075187969925,0.01324243118196194
SECOND_HALF,near_gamma_share_0_5,gap_retention_close,1,76,-0.183485987696514,0.11260652921112212
