sample,feature,outcome,expected_sign,n,rho,p_value
FULL,near_gamma_share_0_5,gap_followthrough,1,119,0.27657028913260223,0.0023283325858804455
FULL,near_gamma_share_0_5,excursion_efficiency,1,119,0.2862341546788207,0.001600644582049442
FULL,near_gamma_share_0_5,mfe_from_open,1,119,0.19104828372026778,0.03740610200129153
FULL,near_gamma_share_0_5,gap_retention_close,1,119,0.14245833926791057,0.12221872977315762
FULL,near_gamma_share_0_5,mae_from_open,-1,119,-0.3550918672553767,7.412393880705457e-05
FULL,near_gamma_share_0_5,gap_fill,-1,119,-0.12774533797448556,0.16620315915058817
FULL,front_near_gamma_share,gap_followthrough,1,119,0.23360632388548644,0.010560143101419249
FULL,front_near_gamma_share,excursion_efficiency,1,119,0.23357783791482695,0.010569882912727648
FULL,front_near_gamma_share,mfe_from_open,1,119,0.12231875801167925,0.18509222557885585
FULL,front_near_gamma_share,gap_retention_close,1,119,0.09104828372026778,0.3247306653457036
FULL,front_near_gamma_share,mae_from_open,-1,119,-0.3266699900299104,0.0002879175675497519
FULL,front_near_gamma_share,gap_fill,-1,119,-0.09742446008949095,0.29185210775011056
FULL,weighted_abs_distance,gap_followthrough,-1,119,-0.04992166358068652,0.589770113965245
FULL,weighted_abs_distance,excursion_efficiency,-1,119,-0.009044295684375448,0.9222322935051965
FULL,weighted_abs_distance,mfe_from_open,-1,119,0.05699330579689503,0.5381177478724329
FULL,weighted_abs_distance,gap_retention_close,-1,119,0.0527773821392964,0.5686412472845322
FULL,weighted_abs_distance,mae_from_open,1,119,0.11041874376869394,0.23190283628994926
FULL,weighted_abs_distance,gap_fill,1,119,-0.020379606447291473,0.8258777791556621
FIRST_HALF,near_gamma_share_0_5,gap_followthrough,1,59,0.31402688486265345,0.015431398598228696
FIRST_HALF,near_gamma_share_0_5,excursion_efficiency,1,59,0.2945645821157219,0.023531953080446876
FIRST_HALF,near_gamma_share_0_5,mfe_from_open,1,59,0.21706604324956166,0.0986575709220894
FIRST_HALF,near_gamma_share_0_5,gap_retention_close,1,59,0.24728229105786095,0.05899758581132699
FIRST_HALF,near_gamma_share_0_5,mae_from_open,-1,59,-0.30876680303915843,0.017341008897705467
FIRST_HALF,near_gamma_share_0_5,gap_fill,-1,59,-0.17627089541790095,0.18172025646939607
FIRST_HALF,front_near_gamma_share,gap_followthrough,1,59,0.3879602571595559,0.0023965912087993676
FIRST_HALF,front_near_gamma_share,excursion_efficiency,1,59,0.3708942139099942,0.0038297527775834734
FIRST_HALF,front_near_gamma_share,mfe_from_open,1,59,0.25172413793103454,0.05444812436773146
FIRST_HALF,front_near_gamma_share,gap_retention_close,1,59,0.245645821157218,0.060749207612681266
FIRST_HALF,front_near_gamma_share,mae_from_open,-1,59,-0.4082407948568089,0.001328471991520758
FIRST_HALF,front_near_gamma_share,gap_fill,-1,59,-0.18842750889499754,0.15294393578035642
FIRST_HALF,weighted_abs_distance,gap_followthrough,-1,59,-0.11905318527177092,0.36913291625546574
FIRST_HALF,weighted_abs_distance,excursion_efficiency,-1,59,0.01811805961426067,0.8916624313846058
FIRST_HALF,weighted_abs_distance,mfe_from_open,-1,59,0.09164231443600235,0.48999825937486813
FIRST_HALF,weighted_abs_distance,gap_retention_close,-1,59,-0.011747516072472241,0.9296328938910808
FIRST_HALF,weighted_abs_distance,mae_from_open,1,59,0.07901811805961427,0.5519138607889575
FIRST_HALF,weighted_abs_distance,gap_fill,1,59,-0.026339329200376002,0.8430280472771117
SECOND_HALF,near_gamma_share_0_5,gap_followthrough,1,60,0.24406779661016953,0.060203360411528704
SECOND_HALF,near_gamma_share_0_5,excursion_efficiency,1,60,0.2282300639066408,0.07944710152302234
SECOND_HALF,near_gamma_share_0_5,mfe_from_open,1,60,0.11831064184495695,0.36795003709381796
SECOND_HALF,near_gamma_share_0_5,gap_retention_close,1,60,0.10186162823006392,0.43867269552863636
SECOND_HALF,near_gamma_share_0_5,mae_from_open,-1,60,-0.382995276465685,0.0025249254848418597
SECOND_HALF,near_gamma_share_0_5,gap_fill,-1,60,-0.09857959992984162,0.4536406482709374
SECOND_HALF,front_near_gamma_share,gap_followthrough,1,60,0.0799666574048347,0.5436101299951629
SECOND_HALF,front_near_gamma_share,excursion_efficiency,1,60,0.05101417060294527,0.6986867547847624
SECOND_HALF,front_near_gamma_share,mfe_from_open,1,60,-0.03423173103639901,0.7951290878215274
SECOND_HALF,front_near_gamma_share,gap_retention_close,1,60,-0.034176160044456796,0.7954544713904279
SECOND_HALF,front_near_gamma_share,mae_from_open,-1,60,-0.20500138927479858,0.11612018761614275
SECOND_HALF,front_near_gamma_share,gap_fill,-1,60,0.000976035642869719,0.9940946722256334
SECOND_HALF,weighted_abs_distance,gap_followthrough,-1,60,0.0648513475965546,0.6225157788394186
SECOND_HALF,weighted_abs_distance,excursion_efficiency,-1,60,0.048791330925257025,0.7112287245520901
SECOND_HALF,weighted_abs_distance,mfe_from_open,-1,60,0.12097804945818286,0.3571719676732657
SECOND_HALF,weighted_abs_distance,gap_retention_close,-1,60,0.11091969991664354,0.398829016484043
SECOND_HALF,weighted_abs_distance,mae_from_open,1,60,0.11108641289247016,0.3981161861215173
SECOND_HALF,weighted_abs_distance,gap_fill,1,60,-0.016592605928785226,0.8998659271039869
NON_OPEX,near_gamma_share_0_5,gap_followthrough,1,90,0.235741037988229,0.025299435178041934
NON_OPEX,near_gamma_share_0_5,excursion_efficiency,1,90,0.3002263653949047,0.004039982262342656
NON_OPEX,near_gamma_share_0_5,mfe_from_open,1,90,0.24035066057537965,0.022498041080441733
NON_OPEX,near_gamma_share_0_5,gap_retention_close,1,90,0.13077334650368358,0.2192342952675357
NON_OPEX,near_gamma_share_0_5,mae_from_open,-1,90,-0.34798534798534797,0.0007771087726032538
NON_OPEX,near_gamma_share_0_5,gap_fill,-1,90,-0.15863499363292147,0.1353375450349166
NON_OPEX,front_near_gamma_share,gap_followthrough,1,90,0.1957031732312631,0.06452002437493363
NON_OPEX,front_near_gamma_share,excursion_efficiency,1,90,0.2565995801950858,0.014633921659937876
NON_OPEX,front_near_gamma_share,mfe_from_open,1,90,0.17021854549944437,0.10871598548425611
NON_OPEX,front_near_gamma_share,gap_retention_close,1,90,0.0812199036918138,0.44665259787614453
NON_OPEX,front_near_gamma_share,mae_from_open,-1,90,-0.34767255216693416,0.0007862299554795793
NON_OPEX,front_near_gamma_share,gap_fill,-1,90,-0.13168877553637043,0.21599713632074094
NON_OPEX,weighted_abs_distance,gap_followthrough,-1,90,-0.021146643618553732,0.8431761223987599
NON_OPEX,weighted_abs_distance,excursion_efficiency,-1,90,-0.02858789150923982,0.7891056654722671
NON_OPEX,weighted_abs_distance,mfe_from_open,-1,90,0.03927233814874264,0.71324312018679
NON_OPEX,weighted_abs_distance,gap_retention_close,-1,90,0.05418775980573733,0.6119743246364027
NON_OPEX,weighted_abs_distance,mae_from_open,1,90,0.13828044614561466,0.19368324517437055
NON_OPEX,weighted_abs_distance,gap_fill,1,90,0.05606551829766267,0.5996788423619157
