sample,feature,outcome,expected_sign,n,rho,p_value
FULL,near_gamma_share_0_5,gap_followthrough,1,129,0.05354986583184258,0.5466934363069327
FULL,near_gamma_share_0_5,excursion_efficiency,1,129,-0.03548188729874777,0.6897458496086724
FULL,near_gamma_share_0_5,mfe_from_open,1,129,-0.3083016547406083,0.0003786391566023908
FULL,near_gamma_share_0_5,gap_retention_close,1,129,-0.0728644901610018,0.41186394181226005
FULL,near_gamma_share_0_5,mae_from_open,-1,129,-0.24838998211091237,0.004534999014846854
FULL,near_gamma_share_0_5,gap_fill,-1,129,-0.07014149038222164,0.4296016282532616
FULL,front_near_gamma_share,gap_followthrough,1,129,0.01989042933810376,0.8229634386246787
FULL,front_near_gamma_share,excursion_efficiency,1,129,-0.059408542039356006,0.5036391758440674
FULL,front_near_gamma_share,mfe_from_open,1,129,-0.33732669946332744,9.259482207034028e-05
FULL,front_near_gamma_share,gap_retention_close,1,129,-0.09769677996422184,0.27069693685657786
FULL,front_near_gamma_share,mae_from_open,-1,129,-0.2258944543828265,0.010051374782007213
FULL,front_near_gamma_share,gap_fill,-1,129,-0.015540330204444317,0.861239314131745
FULL,weighted_abs_distance,gap_followthrough,-1,129,-0.04868067978533096,0.5837952065198408
FULL,weighted_abs_distance,excursion_efficiency,-1,129,0.009671288014311273,0.9133785004759946
FULL,weighted_abs_distance,mfe_from_open,-1,129,0.35607669946332743,3.4508987735214145e-05
FULL,weighted_abs_distance,gap_retention_close,-1,129,0.1215563506261181,0.16997905586924922
FULL,weighted_abs_distance,mae_from_open,1,129,0.3266435599284437,0.0001580808027904946
FULL,weighted_abs_distance,gap_fill,1,129,0.11928253454222122,0.17816875708357854
FIRST_HALF,near_gamma_share_0_5,gap_followthrough,1,64,0.09276556776556776,0.46595753442843174
FIRST_HALF,near_gamma_share_0_5,excursion_efficiency,1,64,0.01346153846153846,0.9159199385326856
FIRST_HALF,near_gamma_share_0_5,mfe_from_open,1,64,-0.2456501831501831,0.05039893647991277
FIRST_HALF,near_gamma_share_0_5,gap_retention_close,1,64,-0.022115384615384613,0.8622920411347134
FIRST_HALF,near_gamma_share_0_5,mae_from_open,-1,64,-0.2621336996336996,0.036395541297779194
FIRST_HALF,near_gamma_share_0_5,gap_fill,-1,64,-0.09661363887437506,0.447580509123792
FIRST_HALF,front_near_gamma_share,gap_followthrough,1,64,-0.03255494505494505,0.7984341154412923
FIRST_HALF,front_near_gamma_share,excursion_efficiency,1,64,-0.09299450549450548,0.464852899769247
FIRST_HALF,front_near_gamma_share,mfe_from_open,1,64,-0.35059523809523807,0.0045080333477343915
FIRST_HALF,front_near_gamma_share,gap_retention_close,1,64,-0.12335164835164833,0.33150897416316916
FIRST_HALF,front_near_gamma_share,mae_from_open,-1,64,-0.14097985347985345,0.26649490025659395
FIRST_HALF,front_near_gamma_share,gap_fill,-1,64,0.025424641809046068,0.8419337996516488
FIRST_HALF,weighted_abs_distance,gap_followthrough,-1,64,-0.08836996336996336,0.48743991473115333
FIRST_HALF,weighted_abs_distance,excursion_efficiency,-1,64,0.027289377289377286,0.8305064837979752
FIRST_HALF,weighted_abs_distance,mfe_from_open,-1,64,0.3442765567765567,0.005342277499686333
FIRST_HALF,weighted_abs_distance,gap_retention_close,-1,64,0.061858974358974354,0.6272623265253772
FIRST_HALF,weighted_abs_distance,mae_from_open,1,64,0.2988095238095238,0.01646518353792715
FIRST_HALF,weighted_abs_distance,gap_fill,1,64,0.11695335232161191,0.357389854454577
SECOND_HALF,near_gamma_share_0_5,gap_followthrough,1,65,-0.17180944055944056,0.17115702648720155
SECOND_HALF,near_gamma_share_0_5,excursion_efficiency,1,65,-0.2021853146853147,0.10627368940042792
SECOND_HALF,near_gamma_share_0_5,mfe_from_open,1,65,-0.35533216783216787,0.003676878642169957
SECOND_HALF,near_gamma_share_0_5,gap_retention_close,1,65,-0.21223776223776222,0.08963795479907474
SECOND_HALF,near_gamma_share_0_5,mae_from_open,-1,65,0.026966783216783217,0.8311449357783128
SECOND_HALF,near_gamma_share_0_5,gap_fill,-1,65,0.01673823614958633,0.8947163391060159
SECOND_HALF,front_near_gamma_share,gap_followthrough,1,65,-0.1771416083916084,0.15805546317485453
SECOND_HALF,front_near_gamma_share,excursion_efficiency,1,65,-0.23020104895104898,0.06506807755063104
SECOND_HALF,front_near_gamma_share,mfe_from_open,1,65,-0.3871940559440559,0.0014407298143254317
SECOND_HALF,front_near_gamma_share,gap_retention_close,1,65,-0.20655594405594405,0.09876904807235756
SECOND_HALF,front_near_gamma_share,mae_from_open,-1,65,0.021765734265734266,0.8633617402845551
SECOND_HALF,front_near_gamma_share,gap_fill,-1,65,0.09038647520776619,0.4739622115460354
SECOND_HALF,weighted_abs_distance,gap_followthrough,-1,65,0.1881555944055944,0.13336420423075282
SECOND_HALF,weighted_abs_distance,excursion_efficiency,-1,65,0.13168706293706295,0.2957195045239175
